date,equity
2024-01-02,10000000.0
2024-01-03,10000000.0
2024-01-04,10000000.0
2024-01-05,10000000.0
2024-01-08,10000000.0
2024-01-09,10000000.0
2024-01-10,10000000.0
2024-01-11,10000000.0
2024-01-12,10000000.0
2024-01-16,10000000.0
2024-01-17,10000000.0
2024-01-18,10000000.0
2024-01-19,10000000.0
2024-01-22,10000000.0
2024-01-23,10000000.0
2024-01-24,10000000.0
2024-01-25,10000000.0
2024-01-26,10000000.0
2024-01-29,10000000.0
2024-01-30,10000000.0
2024-01-31,10000000.0
2024-02-01,9988945.170112
2024-02-02,10037281.170112
2024-02-05,10065856.242291842
2024-02-06,10065856.242291842
